id_tweet,created_at,lang,like_count,quote_count,reply_count,retweet_count,text
1546903278226534400,2022-07-12 17:04:16+00:00,es,0,0,0,242,RT @cristian_arayal: Quiero felicitar públicamente a la totalidad de los diputados de @RNchile y @ChilePDGcl y a los parlamentarios UDI que…
1546902888030490624,2022-07-12 17:02:43+00:00,es,0,0,0,1227,"RT @leoromerosaez: Con el gentil auspicio del Frente Amplio, PC, gran parte de la UDI y Evopoli, la ministra Izkia Siches se salvó. ¿Qué op…"
1546901049360846854,2022-07-12 16:55:24+00:00,es,3247,11,95,955,Valoro el voto de los 7 diputados del Partido de la Gente que rechazaron la cuestión previa y votaron para discutir la acusación constitucional contra la Ministra Siches. No es posible seguir validando la incompetencia e incapacidad de la Ministra.
1546898476692393985,2022-07-12 16:45:11+00:00,es,1603,23,56,785,"Se negaron a interpelar a la Ministra Siches y ahora se niegan a entrar al fondo de una acusación contra la peor Ministra del Interior de la historia reciente. Las víctimas del terrorismo, la delincuencia, el narcotráfico y la violencia abandonados a sus suerte."
1546898206432395264,2022-07-12 16:44:07+00:00,es,1219,7,22,514,"En cada una de las áreas de gestión de la Ministra, ha demostrado incapacidad, negligencia e incompetencia. Una oposición que no fiscaliza, que no exige responsabilidades y que no usa todos los instrumentos que dispone la ley, es cómplice de un mal gobierno"
1546897922918195200,2022-07-12 16:42:59+00:00,es,2539,79,297,1419,"Los Diputados, Teao, Sulantay, Ramirez, Lavin, Guzman, Fuenzalida, Donoso, Coloma, Borquez y Benavente; y la Diputada Romero, fueron los votos que salvaron a la Ministra Siches y ni siquiera permitieron entrar a discutir el fondo de una acusación necesaria y urgente."
1546893474405920768,2022-07-12 16:25:18+00:00,es,225,2,14,91,Muy bien @ANDRESCELISM ✌️ https://t.co/93nbrycUgz
1546879660675387394,2022-07-12 15:30:25+00:00,es,0,0,0,283,RT @Cami_FloresO: Te dejo mi entrevista @joseantoniokast donde sustento en detalle que hoy votaré a favor la acusación constitucional contr…
1546872375181860864,2022-07-12 15:01:28+00:00,es,279,3,58,127,¿Cómo debería votar el Diputado @Mbeckeralvear la Acusación Constitucional contra la Ministra Siches?
1546872245556957189,2022-07-12 15:00:57+00:00,es,161,0,30,81,¿Cómo debería votar el Diputado @Diputadoberger la Acusación Constitucional contra la Ministra Siches?
1546872150954414081,2022-07-12 15:00:34+00:00,es,147,0,25,82,¿Cómo debería votar el Diputado @JCBeltranSilva la Acusación Constitucional contra la Ministra Siches?
1546871998764068864,2022-07-12 14:59:58+00:00,es,138,2,19,72,¿Cómo debería votar el Diputado @Gustavobenavent la Acusación Constitucional contra la Ministra Siches?
1546871865259356160,2022-07-12 14:59:26+00:00,es,164,3,26,80,¿Cómo debería votar el Diputado @Fernandoborquez la Acusación Constitucional contra la Ministra Siches?
